[+] walking folders in D:/
[+] Walked 4,136 files! fps=827
[+] Walked 6,826 files! fps=538
[+] Walked 7,880 files! fps=210
[+] Walked 9,576 files! fps=339
[+] Walked 13,144 files! fps=713
[+] Walked 15,228 files! fps=416
[+] Walked 18,577 files! fps=669
[+] Walked 20,301 files! fps=344
[+] Walked 21,616 files! fps=263
[+] Walked 23,208 files! fps=318
[+] Walked 24,134 files! fps=185
[+] Walked 24,730 files! fps=119
[+] Walked 25,422 files! fps=138
[+] Walked 28,704 files! fps=656
[+] Walked 30,115 files! fps=282
[+] Walked 30,732 files! fps=123
[+] Walked 31,629 files! fps=179
[+] Walked 34,566 files! fps=587
[+] Walked 36,687 files! fps=424
[+] Walked 39,169 files! fps=496
[+] Walked 41,215 files! fps=409
[+] Walked 43,030 files! fps=363
[+] Walked 47,222 files! fps=838
[+] Walked 59,158 files! fps=2,387
[+] Walked 59,901 files! fps=148
[+] Walked 60,633 files! fps=146
[+] Walked 61,337 files! fps=140
[+] Walked 64,585 files! fps=649
[+] Walked 65,273 files! fps=137
[+] Walked 66,040 files! fps=153
[+] Walked 66,997 files! fps=191
[+] Walked 69,246 files! fps=449
[+] Walked 70,343 files! fps=219
[+] Walked 70,752 files! fps=81
[+] Walked 71,255 files! fps=100
[+] Walked 74,148 files! fps=578
[+] Walked 75,085 files! fps=187
[+] Walked 77,958 files! fps=574
[+] Walked 95,976 files! fps=3,603
[+] Walked 100,325 files! fps=869
[+] Walked 109,615 files! fps=1,858
[+] Walked 120,793 files! fps=2,235
[+] Walked 125,637 files! fps=968
[+] Walked 128,717 files! fps=616
[+] Walked 131,383 files! fps=533
[+] Walked 133,114 files! fps=346
[+] Walked 133,846 files! fps=146
[+] Walked 134,346 files! fps=100
[+] Walked 135,302 files! fps=191
[+] Walked 135,898 files! fps=119
[+] Walked 136,307 files! fps=81
[+] Walked 136,778 files! fps=94
[+] Walked 137,675 files! fps=179
[+] Walked 139,536 files! fps=372
[+] Walked 143,059 files! fps=704
[+] Walked 158,266 files! fps=3,041
[+] Walked 159,021 files! fps=151
[+] Walked 159,763 files! fps=148
[+] Walked 160,949 files! fps=237
[+] Walked 161,909 files! fps=192
[+] Walked 169,131 files! fps=1,444
[+] Walked 186,412 files! fps=3,456
[+] Walked 204,584 files! fps=3,634
[+] Walked 212,186 files! fps=1,520
[+] Walked 216,471 files! fps=857
[+] Walked 236,128 files! fps=3,931
[+] Walked 237,472 files! fps=268
[+] Walked 238,664 files! fps=238
[+] Walked 240,294 files! fps=326
[+] Walked 242,865 files! fps=514
[+] Walked 248,643 files! fps=1,155
[+] Walked 264,343 files! fps=3,140
[+] Walked 266,470 files! fps=425
[+] Walked 266,838 files! fps=73
[+] Walked 267,185 files! fps=69
[+] Walked 267,539 files! fps=70
[+] Walked 267,939 files! fps=80
[+] Walked 268,232 files! fps=58
[+] Walked 268,549 files! fps=63
[+] Walked 268,772 files! fps=44
[+] Walked 269,029 files! fps=51
[+] Walked 269,307 files! fps=55
[+] Walked 269,599 files! fps=58
[+] Walked 269,915 files! fps=63
[+] Walked 270,124 files! fps=41
[+] Walked 270,292 files! fps=33
[+] Walked 270,531 files! fps=47
[+] Walked 270,769 files! fps=47
[+] Walked 270,999 files! fps=46
[+] Walked 271,227 files! fps=45
[+] Walked 271,424 files! fps=39
[+] Walked 271,641 files! fps=43
[+] Walked 271,869 files! fps=45
[+] Walked 272,033 files! fps=32
[+] Walked 272,271 files! fps=47
[+] Walked 272,509 files! fps=47
[+] Walked 272,747 files! fps=47
[+] Walked 272,960 files! fps=42
[+] Walked 273,221 files! fps=52
[+] Walked 273,445 files! fps=44
[+] Walked 273,725 files! fps=56
[+] Walked 273,943 files! fps=43
[+] Walked 274,065 files! fps=24
[+] Walked 274,302 files! fps=47
[+] Walked 274,590 files! fps=57
[+] Walked 274,865 files! fps=55
[+] Walked 275,111 files! fps=49
[+] Walked 275,386 files! fps=55
[+] Walked 275,725 files! fps=67
[+] Walked 276,057 files! fps=66
[+] Walked 276,380 files! fps=64
[+] Walked 276,649 files! fps=53
[+] Walked 276,912 files! fps=52
[+] Walked 277,239 files! fps=65
[+] Walked 277,569 files! fps=66
[+] Walked 277,867 files! fps=59
[+] Walked 278,121 files! fps=50
[+] Walked 278,492 files! fps=74
[+] Walked 278,869 files! fps=75
[+] Walked 279,180 files! fps=62
[+] Walked 279,453 files! fps=54
[+] Walked 279,806 files! fps=70
[+] Walked 280,079 files! fps=54
[+] Walked 280,261 files! fps=36
[+] Walked 280,600 files! fps=67
[+] Walked 280,917 files! fps=63
[+] Walked 281,235 files! fps=63
[+] Walked 282,507 files! fps=254
[+] Walked 284,728 files! fps=444
[+] Walked 287,166 files! fps=487
[+] Walked 290,118 files! fps=590
[+] Walked 296,088 files! fps=1,194
[+] Walked 301,462 files! fps=1,074
[+] Walked 309,854 files! fps=1,678
[+] Walked 314,044 files! fps=838
[+] Walked 318,664 files! fps=924
[+] Walked 318,668 files! fps=0
[+] Walked 318,669 files! fps=0
[+] Walked 318,670 files! fps=0
[+] Walked 318,673 files! fps=0
[+] Walked 318,831 files! fps=31
[+] Walked 319,096 files! fps=53
[+] Walked 319,186 files! fps=18
[+] Walked 319,260 files! fps=14
[+] Walked 319,360 files! fps=20
[+] Walked 319,458 files! fps=19
[+] Walked 320,186 files! fps=145
[+] Walked 320,846 files! fps=132
[+] Walked 321,674 files! fps=165
[+] Walked 322,449 files! fps=155
[+] Walked 323,594 files! fps=229
[+] Walked 328,981 files! fps=1,077
[+] Walked 334,048 files! fps=1,013
[+] Walked 338,963 files! fps=983
[+] Walked 341,180 files! fps=443
[+] Walked 345,270 files! fps=818
[+] Walked 354,981 files! fps=1,942
[+] Walked 358,953 files! fps=794
[+] Walked 361,489 files! fps=507
[+] Walked 372,449 files! fps=2,192
[+] Walked 375,665 files! fps=643
[+] Walked 381,212 files! fps=1,109
[+] Walked 385,679 files! fps=893
[+] Walked 401,196 files! fps=3,103
[+] Walked 412,636 files! fps=2,288
[+] Walked 423,575 files! fps=2,187
[+] Walked 425,693 files! fps=423
[+] Walked 426,087 files! fps=78
[+] Walked 426,466 files! fps=75
[+] Walked 426,806 files! fps=68
[+] Walked 427,177 files! fps=74
[+] Walked 427,593 files! fps=83
[+] Walked 427,917 files! fps=64
[+] Walked 428,280 files! fps=72
[+] Walked 428,560 files! fps=56
[+] Walked 428,901 files! fps=68
[+] Walked 429,301 files! fps=80
[+] Walked 429,745 files! fps=88
[+] Walked 430,212 files! fps=93
[+] Walked 430,806 files! fps=118
[+] Walked 431,158 files! fps=70
[+] Walked 431,600 files! fps=88
[+] Walked 432,147 files! fps=109
[+] Walked 432,690 files! fps=108
[+] Walked 433,251 files! fps=112
[+] Walked 433,538 files! fps=57
[+] Walked 434,132 files! fps=118
[+] Walked 434,647 files! fps=103
[+] Walked 435,477 files! fps=166
[+] Walked 435,916 files! fps=87
[+] Walked 436,505 files! fps=117
[+] Walked 437,044 files! fps=107
[+] Walked 437,818 files! fps=154
[+] Walked 438,537 files! fps=143
[+] Walked 438,923 files! fps=77
[+] Walked 439,364 files! fps=88
[+] Walked 439,930 files! fps=113
[+] Walked 446,493 files! fps=1,312
[+] Walked 449,446 files! fps=590
[+] Walked 450,248 files! fps=160
[+] Walked 450,960 files! fps=142
[+] Walked 458,757 files! fps=1,559
[+] Walked 459,500 files! fps=148
[+] Walked 459,984 files! fps=96
[+] Walked 461,423 files! fps=287
[-] Error thrown when process file! [Errno 13] Permission denied: 'D:/OneDrive\\Desktop\\University\\TM111\\Block 1 Part 4 Weaving the web\\5.3.2 website\\website description.docx'
[+] Walked 462,684 files! fps=252
[+] Walked 463,540 files! fps=171
[+] Walked 470,628 files! fps=1,417
[+] Walked 473,328 files! fps=540
[+] Walked 479,329 files! fps=1,200
[+] Walked 479,918 files! fps=117
[+] Walked 480,448 files! fps=106
[+] Walked 480,958 files! fps=102
[+] Walked 482,278 files! fps=264
