Category: All categories

Week,steam jared: (United States)
2019-05-19,0
2019-05-26,55
2019-06-02,53
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,55
2019-07-21,0
2019-07-28,55
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,100
2019-10-13,49
2019-10-20,98
2019-10-27,99
2019-11-03,48
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,48
2019-12-15,0
2019-12-22,55
2019-12-29,0
2020-01-05,48
2020-01-12,46
2020-01-19,47
2020-01-26,47
2020-02-02,0
2020-02-09,0
2020-02-16,46
2020-02-23,45
2020-03-01,0
2020-03-08,45
2020-03-15,44
2020-03-22,0
2020-03-29,41
2020-04-05,0
2020-04-12,41
2020-04-19,81
2020-04-26,0
2020-05-03,0
2020-05-10,0
