Manufacturer,Name,Clock Speed,Cores,Multi-threading,TDP
Intel,Intel Core i7-8700K,3.7GHz,6,Yes:Hyper-Threading,95Watts
AMD,AMD Ryzen 5 1600,3.2GHz,6,Yes,65Watts
Intel,Intel Core i7-7700K,4.2GHz,4,Yes:Hyper-Threading,91Watts
Intel,Intel Core i5-8600K,3.6GHz,6,No,95Watts
AMD,AMD Ryzen 3 1200,3.1GHz,4,No,65Watts
AMD,AMD Ryzen 5 1600X,3.6GHz,6,Yes,95Watts
Intel,Intel Core i5-8400,2.8GHz,6,No,65Watts
Intel,Intel Core i5-7600K,3.8GHz,4,No,91Watts
AMD,AMD Ryzen 7 1700,3.0GHz,8,Yes,65Watts
AMD,AMD Ryzen 3 1300X,3.5GHz,4,No,65Watts
Intel,Intel Pentium G4560,3.5GHz,2,Yes:Hyper-Threading,54Watts
AMD,AMD Ryzen 5 1500X,3.5GHz,4,Yes,65Watts
AMD,AMD Ryzen 7 1800X,3.6GHz,8,Yes,95Watts
Intel,Intel Core i3-8100,3.6GHz,4,No,65Watts
Intel,Intel Core i5-6600K,3.5GHz,4,No,91Watts
AMD,AMD Ryzen 5 1400,3.2GHz,4,Yes,65Watts
Intel,Intel Core i7-6700K,4.0GHz,4,Yes:Hyper-Threading,91Watts
AMD,AMD Ryzen 7 1700X,3.4GHz,8,Yes,95Watts
Intel,Intel Core i7-7700,3.6GHz,4,Yes:Hyper-Threading,65Watts
AMD,AMD Threadripper 1950X,3.4GHz,16,Yes,180Watts
Intel,Intel Core i5-7500,3.4GHz,4,No,65Watts
Intel,Intel Core i3-7100,3.9GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Core i5-7400,3.0GHz,4,No,65Watts
AMD,AMD FX-8350,4.0GHz,8,No,125Watts
Intel,Intel Core i7-8700,3.2GHz,6,Yes:Hyper-Threading,65Watts
Intel,Intel Core i3-8350K,4.0GHz,4,No,91Watts
Intel,Intel Core i9-7900X,3.3GHz,10,Yes:Hyper-Threading,140Watts
Intel,Intel Pentium G4400,3.3GHz,2,No,54Watts
Intel,Intel Core i9-7980XE,2.6GHz,18,Yes:Hyper-Threading,165Watts
AMD,AMD FX-6300,3.5GHz,6,No,95Watts
Intel,Intel Xeon E5-2697 V3 (OEM/Tray),2.6GHz,14,Yes:Hyper-Threading,145Watts
Intel,Intel Core i7-4790K,4.0GHz,4,Yes:Hyper-Threading,88Watts
Intel,Intel Core i3-6100,3.7GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Celeron G3930,2.9GHz,2,No,51Watts
Intel,Intel Core i7-7820X,3.6GHz,8,Yes:Hyper-Threading,140Watts
AMD,AMD Threadripper 1900X,3.8GHz,8,Yes,180Watts
Intel,Intel Core 2 Duo E6750 (OEM/Tray),2.66GHz,2,No,65Watts
Intel,Intel Core i5-6500,3.2GHz,4,No,65Watts
AMD,AMD FX-9590 (OEM/Tray),4.7GHz,8,No,220Watts
AMD,AMD Athlon X4 845,3.5GHz,4,No,65Watts
Intel,Intel Core i5-7600,3.5GHz,4,No,65Watts
AMD,AMD FX-4300,3.8GHz,4,No,95Watts
AMD,AMD A8-9600,3.1GHz,4,No,65Watts
Intel,Intel Pentium G4600,3.6GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Core i9-7980XE (OEM/Tray),2.6GHz,18,Yes:Hyper-Threading,165Watts
Intel,Intel Core i5-4460,3.2GHz,4,No,84Watts
Intel,Intel Core i5-6400,2.7GHz,4,No,65Watts
Intel,Intel Core i7-7800X,3.5GHz,6,Yes:Hyper-Threading,140Watts
Intel,Intel Xeon E5-2699 V4 (OEM/Tray),2.2GHz,22,Yes:Hyper-Threading,145Watts
Intel,Intel Core i5-3470,3.2GHz,4,No,77Watts
Intel,Intel Core i7-6700,3.4GHz,4,Yes:Hyper-Threading,65Watts
AMD,AMD FX-8320,3.5GHz,8,No,125Watts
Intel,Intel Core i7-3770,3.4GHz,4,Yes:Hyper-Threading,77Watts
Intel,Intel Core i7-8700K,3.7GHz,6,Yes:Hyper-Threading,95Watts
Intel,Intel Core i7-7740X,4.3GHz,4,Yes:Hyper-Threading,112Watts
AMD,AMD Ryzen 7 1800X,3.6GHz,8,Yes,95Watts
AMD,AMD A10-9700,3.5GHz,4,No,65Watts
AMD,AMD Threadripper 1920X,3.5GHz,12,Yes,180Watts
Intel,Intel Core i5-2400,3.1GHz,4,No,95Watts
Intel,Intel Celeron G3900,2.8GHz,2,No,51Watts
Intel,Intel Core i5-4690K,3.5GHz,4,No,88Watts
Intel,Intel Core i5-3570K,3.4GHz,4,No,77Watts
Intel,Intel Core 2 Duo E8400 (OEM/Tray),3.0GHz,2,No,65Watts
Intel,Intel Core i7-6800K,3.4GHz,6,Yes:Hyper-Threading,140Watts
Intel,Intel Core i5-7400T (OEM/Tray),2.4GHz,4,No,35Watts
AMD,AMD A6-6400K,3.9GHz,2,No,65Watts
Intel,Intel Core i3-7350K,4.2GHz,2,Yes:Hyper-Threading,60Watts
Intel,Intel Core i5-7400 (OEM/Tray),3.0GHz,4,No,65Watts
Intel,Intel Core i7-4770K,3.5GHz,4,Yes:Hyper-Threading,84Watts
Intel,Intel Core i5-4670K,3.4GHz,4,No,84Watts
Intel,Intel Pentium G4500,3.5GHz,2,No,51Watts
Intel,Intel Core i7-2600S,2.8GHz,4,Yes:Hyper-Threading,65Watts
Intel,Intel Core i7-5820K,3.3GHz,6,Yes:Hyper-Threading,140Watts
AMD,AMD FX-8320 (OEM/Tray),3.5GHz,8,No,125Watts
Intel,Intel Pentium G4620,3.7GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Xeon E5-2699 V3 (OEM/Tray),2.3GHz,18,Yes:Hyper-Threading,145Watts
Intel,Intel Core i3-2120,3.3GHz,2,Yes:Hyper-Threading,65Watts
AMD,AMD A6-9500,3.5GHz,2,No,65Watts
Intel,Intel Core i9-7940X,3.1GHz,14,Yes:Hyper-Threading,165Watts
Intel,Intel Core i3-4170,3.7GHz,2,Yes:Hyper-Threading,54Watts
Intel,Intel Core i7-4790,3.6GHz,4,Yes:Hyper-Threading,84Watts
AMD,AMD A4-4000,3.0GHz,2,No,65Watts
AMD,AMD FX-8300,3.3GHz,8,No,95Watts
Intel,Intel Core i9-7920X,2.9GHz,12,Yes:Hyper-Threading,140Watts
Intel,Intel Core i3-6100 (OEM/Tray),3.7GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Core i5-6600,3.3GHz,4,No,65Watts
Intel,Intel Pentium G3258,3.2GHz,2,No,53Watts
Intel,Intel Core i7-7700K (OEM/Tray),4.2GHz,4,Yes:Hyper-Threading,91Watts
Intel,Intel Xeon E5-2670,2.6GHz,8,Yes:Hyper-Threading,115Watts
Intel,Intel Core i7-6950X,3.0GHz,10,Yes:Hyper-Threading,140Watts
Intel,Intel Core i3-2100,3.1GHz,2,Yes:Hyper-Threading,65Watts
Intel,Intel Xeon E5-2650,2.0GHz,8,Yes:Hyper-Threading,95Watts
Intel,Intel Core i7-3770K,3.5GHz,4,Yes:Hyper-Threading,77Watts
Intel,Intel Core i7-4770,3.4GHz,4,Yes:Hyper-Threading,84Watts
Intel,Intel Core i5-4570,3.2GHz,4,No,84Watts
Intel,Intel Core i9-7960X,2.8GHz,16,Yes:Hyper-Threading,165Watts
Intel,Intel Core i5-6400 (OEM/Tray),2.7GHz,4,No,65Watts
AMD,AMD FX-8350,4.0GHz,8,No,125Watts
AMD,AMD A10-7890K,4.1GHz,4,No,95Watts
AMD,AMD FX-6200,3.8GHz,6,No,125Watts
Intel,Intel Core i7-8700K,3.7GHz,6,Yes:Hyper-Threading,95Watts
AMD,AMD Ryzen 5 1600,3.2GHz,6,Yes,65Watts
Intel,Intel Core i7-7700K,4.2GHz,4,Yes:Hyper-Threading,91Watts
Intel,Intel Core i5-8600K,3.6GHz,6,No,95Watts
AMD,AMD Ryzen 3 1200,3.1GHz,4,No,65Watts
AMD,AMD Ryzen 5 1600X,3.6GHz,6,Yes,95Watts
Intel,Intel Core i5-8400,2.8GHz,6,No,65Watts
Intel,Intel Core i5-7600K,3.8GHz,4,No,91Watts
AMD,AMD Ryzen 7 1700,3.0GHz,8,Yes,65Watts
AMD,AMD Ryzen 3 1300X,3.5GHz,4,No,65Watts
Intel,Intel Pentium G4560,3.5GHz,2,Yes:Hyper-Threading,54Watts
AMD,AMD Ryzen 5 1500X,3.5GHz,4,Yes,65Watts
AMD,AMD Ryzen 7 1800X,3.6GHz,8,Yes,95Watts
Intel,Intel Core i3-8100,3.6GHz,4,No,65Watts
Intel,Intel Core i5-6600K,3.5GHz,4,No,91Watts
AMD,AMD Ryzen 5 1400,3.2GHz,4,Yes,65Watts
Intel,Intel Core i7-6700K,4.0GHz,4,Yes:Hyper-Threading,91Watts
AMD,AMD Ryzen 7 1700X,3.4GHz,8,Yes,95Watts
Intel,Intel Core i7-7700,3.6GHz,4,Yes:Hyper-Threading,65Watts
AMD,AMD Threadripper 1950X,3.4GHz,16,Yes,180Watts
Intel,Intel Core i5-7500,3.4GHz,4,No,65Watts
Intel,Intel Core i3-7100,3.9GHz,2,Yes:Hyper-Threading,51Watts
Intel,Intel Core i5-7400,3.0GHz,4,No,65Watts
AMD,AMD FX-8350,4.0GHz,8,No,125Watts
Intel,Intel Core i7-8700,3.2GHz,6,Yes:Hyper-Threading,65Watts
Intel,Intel Core i3-8350K,4.0GHz,4,No,91Watts
Intel,Intel Core i9-7900X,3.3GHz,10,Yes:Hyper-Threading,140Watts
Intel,Intel Pentium G4400,3.3GHz,2,No,54Watts
Intel,Intel Core i9-7980XE,2.6GHz,18,Yes:Hyper-Threading,165Watts
AMD,AMD FX-6300,3.5GHz,6,No,95Watts
Intel,Intel Xeon E5-2697 V3 (OEM/Tray),2.6GHz,14,Yes:Hyper-Threading,145Watts
Intel,Intel Core i7-4790K,4.0GHz,4,Yes:Hyper-Threading,88Watts
