Name,Series,Form,Type,Capacity,Cache,Price/GB
Western Digital WD10EZEX,Caviar Blue,3.5",7200RPM,1TB,64MB,£0.037
Seagate ST2000DM006,Barracuda,3.5",7200RPM,2TB,64MB,£0.025
Seagate ST1000DM010,BarraCuda,3.5",7200RPM,1TB,64MB,£0.034
Seagate ST3000DM008,Barracuda,3.5",7200RPM,3TB,64MB,£0.023
Western Digital WD2003FZEX,BLACK SERIES,3.5",7200RPM,2TB,64MB,£0.050
Seagate ST12000VN0007,IronWolf,3.5",7200RPM,12TB,256MB,£0.027
Western Digital WD4004FZWX,Caviar Black,3.5",7200RPM,4TB,128MB,£0.040
Seagate ST3160316CS,Pipeline HD,3.5",5900RPM,160GB,8MB,
Western Digital WD10EURX,AV-GP,3.5",5400RPM,1TB,64MB,£0.042
Hitachi 7K3000,Ultrastar 7K3000,3.5",7200RPM,3TB,64MB,£0.061
Western Digital WD1003FZEX,BLACK SERIES,3.5",7200RPM,1TB,64MB,£0.064
Seagate ST1000VN000,NAS HDD,3.5",5900RPM,1TB,64MB,£0.051
Western Digital WD121KRYZ,Gold,3.5",7200RPM,12TB,256MB,£0.029
Toshiba HDWD110XZSTA,P300,3.5",7200RPM,1TB,64MB,
Western Digital WD20EZRZ,Blue,3.5",5400RPM,2TB,64MB,£0.027
Seagate ST4000DM004,BarraCuda,3.5",5400RPM,4TB,256MB,£0.020
Toshiba DT01ACA100,,3.5",7200RPM,1TB,32MB,£0.036
Toshiba HDWE150XZSTA,X300,3.5",7200RPM,5TB,128MB,£0.020
Seagate ST10000DM0004,BarraCuda Pro,3.5",7200RPM,10TB,256MB,£0.031
Hitachi A7K2000,,3.5",7200RPM,1TB,32MB,
Seagate ST12000DM0007,BarraCuda Pro,3.5",7200RPM,12TB,256MB,£0.033
Seagate ST3500312CS,Pipeline HD,3.5",5900RPM,500GB,8MB,
Western Digital WD3200AAJS,Caviar Blue,3.5",7200RPM,320GB,8MB,£0.067
Western Digital WD5000AAKS,Caviar Blue,3.5",7200RPM,500GB,16MB,
Toshiba HDWD130XZSTA,P300,3.5",7200RPM,3TB,64MB,
Western Digital WD80EFZX,Red,3.5",5400RPM,8TB,128MB,£0.027
Western Digital WD10JPLX,Black,2.5",7200RPM,1TB,32MB,£0.061
Western Digital WD1600AAJS,Caviar Blue,3.5",7200RPM,160GB,8MB,
Western Digital WD40EFRX,Red,3.5",5400RPM,4TB,64MB,£0.028
Hitachi 0F23301,Ultrastar He8,3.5",7200RPM,8TB,128MB,
Toshiba HDWE160XZSTA,X300,3.5",7200RPM,6TB,128MB,£0.021
Seagate ST1000NM0033,Constellation ES.3,3.5",7200RPM,1TB,128MB,£0.099
Seagate ST3000DM001,Barracuda,3.5",7200RPM,3TB,64MB,£0.025
Seagate ST4000DM006,BarraCuda Pro,3.5",7200RPM,4TB,128MB,£0.035
Western Digital WD5000AAKX,Caviar Blue,3.5",7200RPM,500GB,16MB,£0.064
Seagate ST2000DM001,Barracuda,3.5",7200RPM,2TB,64MB,£0.027
Western Digital WD6002FZWX,Black,3.5",7200RPM,6TB,128MB,£0.034
Western Digital WD2002FYPS,RE4-GP,3.5",5900RPM,2TB,64MB,
Seagate ST4000DM000,Desktop HDD,3.5",5900RPM,4TB,64MB,
Western Digital WD40EZRZ,Blue,3.5",5400RPM,4TB,64MB,£0.022
Hitachi HUA723020ALA641,Ultrastar 7K3000,3.5",7200RPM,2TB,64MB,
Western Digital WD4003FZEX,BLACK SERIES,3.5",7200RPM,4TB,64MB,£0.075
Hitachi A7K1000-750,Ultrastar,3.5",7200RPM,750GB,32MB,£0.105
Western Digital WD2500AAKX,Caviar Blue,3.5",7200RPM,250GB,16MB,£0.238
Seagate ST4000DM005,BarraCuda,3.5",5900RPM,4TB,64MB,£0.022
Seagate ST8000DM0004,BarraCuda Pro,3.5",7200RPM,8TB,256MB,£0.026
Western Digital WD1000CHTZ,WD VelociRaptor,2.5",10000RPM,1TB,64MB,
Seagate ST8000DM002,BarraCuda Pro,3.5",7200RPM,8TB,256MB,£0.038
Western Digital WD30EZRZ,Blue,3.5",5400RPM,3TB,64MB,£0.027
Toshiba HDWE140XZSTA,X300,3.5",7200RPM,4TB,128MB,£0.022
Seagate ST1000DM003,Barracuda,3.5",7200RPM,1TB,64MB,£0.067
Western Digital WD10EFRX,Red,3.5",5400RPM,1TB,64MB,£0.050
Western Digital WD50EZRX,Green,3.5",5400RPM,5TB,64MB,
Western Digital WD30EFRX,Red,3.5",5400RPM,3TB,64MB,£0.029
Western Digital WD4002FYYZ,Gold,3.5",7200RPM,4TB,128MB,£0.037
Hitachi Travelstar,Travelstar,2.5",7200RPM,1TB,32MB,£0.046
Seagate ST2000LM015,BarraCuda,2.5",5400RPM,2TB,128MB,£0.036
Western Digital WD2500AVVS,AV-GP,3.5",5400RPM,250GB,8MB,
Western Digital WD5000AAJS,Blue,3.5",7200RPM,500GB,8MB,£0.138
Seagate ST10000NE0004,IronWolf Pro,3.5",7200RPM,10TB,256MB,£0.030
Samsung HD161GJ,Spinpoint F1 DT,3.5",7200RPM,160GB,8MB,
Western Digital WD2002FAEX,Caviar Black,3.5",7200RPM,2TB,64MB,
Western Digital WD1000DHTZ,VelociRaptor,3.5",10000RPM,1TB,64MB,
Seagate ST6000VN0041,IronWolf,3.5",7200RPM,6TB,128MB,£0.027
Western Digital WD6002FRYZ,Gold,3.5",7200RPM,6TB,128MB,£0.033
Western Digital WD5000AVKX,AV,3.5",7200RPM,500GB,16MB,
Western Digital WD5000AVVS,AV-GP,3.5",5400RPM,500GB,8MB,£0.051
