Name,Socket,Form Factor,Max RAM
MSI B350 PC MATE,AM4,ATX,4,64GB
MSI Z370 GAMING PLUS,LGA1151,ATX,4,64GB
MSI Z270 GAMING PLUS,LGA1151,ATX,4,64GB
Asus STRIX B350-F GAMING,AM4,ATX,4,64GB
MSI Z370-A PRO,LGA1151,ATX,4,64GB
Gigabyte GA-B250M-DS3H,LGA1151,Micro ATX,4,64GB
Asus ROG STRIX Z370-E GAMING,LGA1151,ATX,4,64GB
Asus Prime Z370-A,LGA1151,ATX,4,64GB
MSI B350M GAMING PRO,AM4,Micro ATX,2,32GB
MSI Z270 GAMING PRO CARBON,LGA1151,ATX,4,64GB
ASRock AB350 Gaming-ITX/ac,AM4,Mini ITX,2,32GB
Asus MAXIMUS VIII HERO,LGA1151,ATX,4,64GB
Gigabyte GA-H110M-A,LGA1151,Micro ATX,2,32GB
Asus H110M-E/M.2,LGA1151,Micro ATX,2,32GB
Gigabyte Z370 AORUS Gaming 5 (rev. 1.0),LGA1151,ATX,4,64GB
MSI B350 TOMAHAWK,AM4,ATX,4,64GB
ASRock Z370 Extreme4,LGA1151,ATX,4,64GB
ASRock AB350M Pro4,AM4,Micro ATX,4,64GB
Asus M5A78L-M/USB3,AM3+,Micro ATX,4,32GB
Asus ROG MAXIMUS X HERO (WI-FI AC),LGA1151,ATX,4,64GB
MSI X370 GAMING PLUS,AM4,ATX,4,64GB
Asus ROG RAMPAGE VI EXTREME,LGA2066,EATX,8,128GB
MSI Z370 SLI PLUS,LGA1151,ATX,4,64GB
Asus ROG Strix Z370-I Gaming,LGA1151,Mini ITX,2,32GB
Asus STRIX Z270-E GAMING,LGA1151,ATX,4,64GB
ASRock Z370M-ITX/ac,LGA1151,Mini ITX,2,32GB
Gigabyte GA-970A-DS3P,AM3+,ATX,4,32GB
MSI Z370 GAMING PRO CARBON,LGA1151,ATX,4,64GB
Asus ROG ZENITH EXTREME,TR4,EATX,8,128GB
MSI X370 GAMING PRO CARBON,AM4,ATX,4,64GB
Gigabyte GA-AB350-GAMING 3,AM4,ATX,4,64GB
MSI B250M GAMING PRO,LGA1151,Micro ATX,2,32GB
ASRock AB350 Pro4,AM4,ATX,4,64GB
MSI B250I GAMING PRO AC,LGA1151,Mini ITX,2,32GB
MSI A320M PRO-VD PLUS,AM4,Micro ATX,2,32GB
Asus ROG STRIX Z370-F GAMING,LGA1151,ATX,4,64GB
MSI A320M PRO-VH PLUS,AM4,Micro ATX,2,32GB
Asus STRIX X370-F GAMING,AM4,ATX,4,64GB
MSI B250 PC MATE,LGA1151,ATX,4,64GB
ASRock Z370M Pro4,LGA1151,Micro ATX,4,64GB
Asus X99-E-10G WS,LGA2011-3,SSI CEB,8,128GB
Asus PRIME Z270-A,LGA1151,ATX,4,64GB
Gigabyte Z370 AORUS Gaming 7 (rev. 1.0),LGA1151,ATX,4,64GB
ASRock A320M-DGS,AM4,Micro ATX,2,32GB
Gigabyte GA-78LMT-USB3,AM3+,Micro ATX,4,32GB
Asus PRIME B350-PLUS,AM4,ATX,4,64GB
ASRock B250M-HDV,LGA1151,Micro ATX,2,32GB
Intel DG41RQ,LGA775,Micro ATX,2,8GB
Asus ROG STRIX Z370-G GAMING (WI-FI AC),LGA1151,Micro ATX,4,64GB
ASRock X370 KILLER SLI/ac,AM4,ATX,4,64GB
Asus PRIME X299-DELUXE,LGA2066,ATX,8,128GB
MSI B350 GAMING PLUS,AM4,ATX,4,64GB
Asus STRIX H270F GAMING,LGA1151,ATX,4,64GB
MSI Z270-A PRO,LGA1151,ATX,4,64GB
MSI Z270 GAMING M3,LGA1151,ATX,4,64GB
Asus PRIME X370-PRO,AM4,ATX,4,64GB
Asus ROG Strix Z370-H Gaming,LGA1151,ATX,4,64GB
Asus PRIME A320M-K,AM4,Micro ATX,2,32GB
Asus CROSSHAIR VI HERO (WI-FI AC),AM4,ATX,4,64GB
MSI Z370 GODLIKE GAMING,LGA1151,EATX,4,64GB
MSI X299 RAIDER,LGA2066,ATX,8,128GB
MSI A68HM-E33 V2,FM2+,Micro ATX,2,32GB
Asus Z10PE-D8 WS,LGA2011-3 x 2,SSI EEB,8,512GB
Asus ROG STRIX B350-I GAMING,AM4,Mini ITX,2,32GB
Asus Prime Z370-P,LGA1151,ATX,4,64GB
MSI B350 GAMING PRO CARBON,AM4,ATX,4,64GB
Gigabyte Z370 HD3 (rev. 1.0),LGA1151,ATX,4,64GB
MSI H270 PC MATE,LGA1151,ATX,4,64GB
Asus ROG STRIX Z270i GAMING,LGA1151,Mini ITX,2,32GB
Asus ROG MAXIMUS X FORMULA,LGA1151,ATX,4,64GB
Asus PRIME X399-A,TR4,EATX,8,128GB
Gigabyte Z370P D3,LGA1151,ATX,4,64GB
MSI H110M Gaming,LGA1151,Micro ATX,2,32GB
Asus Z170I PRO GAMING,LGA1151,Mini ITX,2,32GB
MSI B350M PRO-VDH,AM4,Micro ATX,4,64GB
ASRock X370 Taichi,AM4,ATX,4,64GB
ASRock 970A-G/3.1,AM3+/AM3,ATX,4,64GB
ASRock AB350M,AM4,Micro ATX,2,32GB
Asus H170 PRO GAMING,LGA1151,ATX,4,64GB
Intel DH61CRB3,LGA1155,Micro ATX,2,8GB
Gigabyte GA-AX370-Gaming K5,AM4,ATX,4,64GB
MSI 970 GAMING,AM3+,ATX,4,32GB
Gigabyte GA-AB350N-Gaming WIFI (rev. 1.0),AM4,Mini ITX,2,32GB
MSI X399 GAMING PRO CARBON AC,TR4,ATX,8,128GB
MSI Z370I GAMING PRO CARBON AC,LGA1151,Mini ITX,2,32GB
Asus P8H61-I R2.0,LGA1155,Mini ITX,2,16GB
MSI B250M MORTAR,LGA1151,Micro ATX,4,64GB
Asus ROG MAXIMUS X HERO,LGA1151,ATX,4,64GB
MSI B250M PRO-VD,LGA1151,Micro ATX,2,32GB
MSI Z370M GAMING PRO AC,LGA1151,Micro ATX,4,64GB
MSI X399 SLI PLUS,TR4,ATX,8,128GB
Gigabyte GA-AB350M-Gaming 3,AM4,Micro ATX,4,64GB
MSI X370 SLI PLUS,AM4,ATX,4,64GB
MSI H110M Pro-VD,LGA1151,Micro ATX,2,32GB
ASRock H110M-ITX/ac,LGA1151,Mini ITX,2,32GB
MSI B350 TOMAHAWK ARCTIC,AM4,ATX,4,64GB
Asus MAXIMUS IX HERO,LGA1151,ATX,4,64GB
Asus CROSSHAIR VI HERO,AM4,ATX,4,64GB
Gigabyte GA-AX370-Gaming K7,AM4,ATX,4,64GB
Asus ROG STRIX X370-I GAMING,AM4,Mini ITX,2,32GB
MSI Z170A GAMING M7,LGA1151,ATX,4,64GB
Asus Sabertooth 990FX R2.0,AM3+,ATX,4,32GB
MSI B350M MORTAR,AM4,Micro ATX,4,64GB
ASRock Z370 Taichi,LGA1151,ATX,4,64GB
Asus Z10PE-D16 WS,LGA2011-3 x 2,SSI EEB,16,1TB
ASRock X370 Gaming-ITX/ac,AM4,Mini ITX,2,32GB
Asus STRIX X299-E GAMING,LGA2066,ATX,8,128GB
MSI Z370 GAMING PRO CARBON AC,LGA1151,ATX,4,64GB
Asus Z170-A,LGA1151,ATX,4,64GB
MSI B350M MORTAR ARCTIC,AM4,Micro ATX,4,64GB
